GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,44,0,2,0,11,0,6,0,5,0
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,16,0,2,0,5,0,6,0,5,0
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,81,0,6,0,22,0,12,0,9,0
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,84,0,6,0,23,0,12,0,9,0
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,103,0,6,0,30,0,12,0,9,0
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,81,0,6,0,22,0,12,0,9,0
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,81,0,6,0,22,0,12,0,9,0
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,81,0,6,0,22,0,12,0,9,0
spring-boot-skeleton,com.nnk.springboot.service,TradeServiceImpl,0,72,0,2,0,16,0,8,0,7
spring-boot-skeleton,com.nnk.springboot.service,BidListServiceImpl,0,75,0,2,0,17,0,8,0,7
spring-boot-skeleton,com.nnk.springboot.service,RatingServiceImpl,0,76,0,2,0,17,0,8,0,7
spring-boot-skeleton,com.nnk.springboot.service,RuleNameServiceImpl,0,84,0,2,0,19,0,8,0,7
spring-boot-skeleton,com.nnk.springboot.service,UserServiceImpl,0,101,1,5,0,22,1,10,0,8
spring-boot-skeleton,com.nnk.springboot.service,CurvePointServiceImpl,0,72,0,2,0,16,0,8,0,7
spring-boot-skeleton,com.nnk.springboot.config,CustomUserDetailsService,26,0,0,0,6,0,3,0,3,0
spring-boot-skeleton,com.nnk.springboot.config,SecurityConfig,78,0,0,0,17,0,6,0,6,0
spring-boot-skeleton,com.nnk.springboot.config,CustomUserDetails,44,0,2,0,13,0,10,0,9,0
spring-boot-skeleton,com.nnk.springboot,Application,8,0,0,0,3,0,2,0,2,0
spring-boot-skeleton,com.nnk.springboot.domain,Rating,3,50,0,0,1,16,1,11,1,11
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,3,70,0,0,1,22,1,15,1,15
spring-boot-skeleton,com.nnk.springboot.domain,BidList,3,40,0,0,1,13,1,9,1,9
spring-boot-skeleton,com.nnk.springboot.domain,Trade,129,40,0,0,37,13,37,9,37,9
spring-boot-skeleton,com.nnk.springboot.domain,User,3,35,0,0,1,10,1,10,1,10
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,17,46,0,0,5,14,5,9,5,9
